"datetime","biogas","biomass","geothermal","large_hydro","natural_gas","nuclear","small_hydro","solar","wind"
2018-09-03 00:00:00,239,413,974,3281.808168,6640.191832,2244,297,0,2727
2018-09-03 01:00:00,240,413,973,3365.677732,5716.322268,2244,297,0,2528
2018-09-03 02:00:00,237,410,973,2953.303247,5207.696753,2244,297,0,2351
2018-09-03 03:00:00,241,410,975,2765.709231,4871.290769,2244,294,0,2128
2018-09-03 04:00:00,240,413,975,2716.370057,4940.629943,2244,295,0,1749
2018-09-03 05:00:00,239,419,976,2830.184137,5152.815863,2244,301,0,1326
2018-09-03 06:00:00,238,415,975,3303.840277,5251.159723,2244,379,0,1099
2018-09-03 07:00:00,238,413,975,3317.822034,5248.177966,2244,385,655,868
2018-09-03 08:00:00,239,415,970,2719.036877,4553.963123,2244,405,4680,776
2018-09-03 09:00:00,238,414,965,1957.958314,4282.041686,2244,339,8148,707
2018-09-03 10:00:00,239,412,961,1768.795087,4411.204913,2244,262,9409,601
2018-09-03 11:00:00,239,414,956,2378.944084,4152.055916,2244,260,9969,573
2018-09-03 12:00:00,240,412,956,2276.813958,4526.186042,2244,260,10096,742
2018-09-03 13:00:00,239,413,952,2926.38722,4871.61278,2244,301,10062,717
2018-09-03 14:00:00,238,417,952,3782.067729,6250.932271,2244,299,9443,758
2018-09-03 15:00:00,239,394,955,3492.226304,7720.773696,2244,335,9032,880
2018-09-03 16:00:00,239,396,954,4092.814681,8474.185319,2244,352,8420,962
2018-09-03 17:00:00,239,397,952,4673.962105,8950.037895,2244,390,7133,1069
2018-09-03 18:00:00,239,399,952,5499.934679,9269.065321,2244,503,3893,1411
2018-09-03 19:00:00,239,393,956,6124.57755,9479.42245,2244,574,347,2361
2018-09-03 20:00:00,240,381,961,6109.853935,9590.146065,2244,569,9,2624
2018-09-03 21:00:00,238,373,964,5841.309129,8265.690871,2244,568,9,2719
2018-09-03 22:00:00,238,379,970,5448.552287,7456.447713,2244,489,9,2475
2018-09-03 23:00:00,238,369,975,4285.793236,7612.206764,2244,443,9,2302
2018-09-04 00:00:00,239,366,978,3485.52369,6905.47631,2244,385,0,2291
2018-09-04 01:00:00,239,353,981,3661.20903,5986.79097,2244,242,0,2104
2018-09-04 02:00:00,240,367,984,3290.589991,6056.410009,2244,244,0,1789
